Isin,Mkt,Codice,Bloomberg Code,VOLUME_AVG_30D
JE00B1VS3770,ETF,PHAU,PHAU IM Equity,"33,165.13"
IE00B14X4S71,ETF,IBTS,IBTS IM Equity,"33,016.77"
DE000VN9ABR0,SDX,FXAG7L,LW525507@SEDX Corp,"32,984.70"
IE00B77D4428,ETF,USAEUY,USAEUY IM Equity,"31,111.87"
LU1681049109,ETF,500H,500H IM Equity,"30,791.17"
JE00B8DFY052,ETF,GBSE,GBSE IM Equity,"30,416.23"
LU1490163091,SDX,SL7MIB,AL262716@EXCH Corp,"30,396.03"
NL0012666416,SDX,P66416,AS873221@EXCH Corp,"30,115.40"
LU1048314196,ETF,CBEU5,CBEU5 IM Equity,"30,104.27"
LU1434170699,SDX,SILV7L,LW554210@SEDX Corp,"30,040.03"
IE00B4L60045,ETF,SE15,SE15 IM Equity,"29,475.87"
JE00B83F5M43,ETF,FR3S,FR3S IM Equity,"28,659.93"
IE00B2NPKV68,ETF,IEMB,IEMB IM Equity,"27,894.93"
JE00B2NFTW01,ETF,LSUG,LSUG IM Equity,"27,268.27"
IT0000076502,MTA,DAN,DAN IM Equity,"26,880.63"
LU0252633754,ETF,DAXX,DAXX IM Equity,"25,096.97"
IE00B3F81R35,ETF,IEAC,IEAC IM Equity,"25,072.23"
GB00B15KY211,ETF,NICK,NICK IM Equity,"24,910.60"
FR0010468983,ETF,DJLEV,DJLEV IM Equity,"24,845.30"
JE00BYQY8102,ETF,3WHL,3WHL IM Equity,"24,760.20"
IE00BSKRK281,ETF,IEBB,IEBB IM Equity,"24,555.10"
IT0005253205,MTA,ITM,ITM IM Equity,"24,402.43"
IE00B27YCK28,ETF,LTAM,LTAM IM Equity,"24,359.83"
LU0292106241,ETF,XSDX,XSDX IM Equity,"24,342.03"
JE00BYQY7H96,ETF,3SUL,3SUL IM Equity,"24,164.10"
IE00B8HGT870,ETF,3GOL,3GOL IM Equity,"24,158.27"
IE00B8GKPP93,ETF,3DES,3DES IM Equity,"23,665.33"
IE00B3CNHG25,ETF,AUCO,AUCO IM Equity,"23,299.60"
FR0010326140,ETF,RUS,RUS IM Equity,"22,981.30"
LU1681041031,ETF,HFRN,HFRN IM Equity,"22,863.80"
DE000VN9CG62,SDX,FLV007,AQ341645@SEDX Corp,"22,704.23"
JE00B97CQD62,ETF,EU3S,EU3S IM Equity,"22,162.77"
DE000A0D8Q07,ETF,EXSI,EXSI IM Equity,"22,037.17"
LU1650487413,ETF,EM13,EM13 IM Equity,"21,423.23"
IT0014508565,Idem,,STH9,"20,510.07"
LU0274211217,ETF,XESX,XESX IM Equity,"20,042.57"
IE00B466KX20,ETF,EMAE,EMAE IM Equity,"20,001.50"
LU1109939865,ETF,XHY1,XHY1 IM Equity,"19,949.03"
DE000VN9D046,SDX,FLV057,AT951306@EXCH Corp,"19,942.40"
IE00BYTYHS72,ETF,3BRL,3BRL IM Equity,"19,886.63"
DE000VN9AAA8,SDX,FDAX7L,LW218625@SEDX Corp,"19,814.23"
GB00B15KYH63,ETF,AIGA,AIGA IM Equity,"19,445.70"
FESX201906,Eurex,,VGM9 Comdty,"19,398.90"
IE00B0M63516,ETF,IBZL,IBZL IM Equity,"19,067.03"
FESB201903,Eurex,,CAH9 Comdty,"18,924.50"
FR0010270033,ETF,CRB,CRB IM Equity,"18,898.40"
DE000SG458H8,SDX,SX507L,AC076599@SEDX Corp,"18,839.70"
LU1681047236,ETF,C50,C50 IM Equity,"18,722.43"
LU1391376719,SDX,SSPX7S,JK721778@EXCH Corp,"18,059.43"
IE00B14X4M10,ETF,INAA,INAA IM Equity,"17,926.97"
LU0476289623,ETF,XMIN,XMIN IM Equity,"17,893.13"
IE0008470928,ETF,EUN,EUN IM Equity,"17,833.77"
LU1829219713,ETF,AAA35,AAA35 IM Equity,"17,507.37"
IE00BM67HK77,ETF,XDWH,XDWH IM Equity,"17,036.67"
IE00B8JVMZ80,ETF,3HCL,3HCL IM Equity,"16,822.20"
DE000VN9D0E3,SDX,FLV033,AT518729@SEDX Corp,"16,708.10"
XS1290048195,SDX,SWTI5L,JK148209@SEDX Corp,"16,558.03"
IE00B1FZS350,ETF,IWDP,IWDP IM Equity,"16,318.57"
IE00B1FZS798,ETF,IBTM,IBTM IM Equity,"15,862.27"
GB00B15KY989,ETF,AIGC,AIGC IM Equity,"15,706.13"
LU1681046774,ETF,X1G,X1G IM Equity,"15,691.97"
IE00BLS09P63,ETF,3BAS,3BAS IM Equity,"15,498.87"
IE00BF8HV600,ETF,STHE,STHE IM Equity,"15,351.93"
IE00B6YX5M31,ETF,JNKE,JNKE IM Equity,"15,191.47"
LU0136240974,ETF,JPNEUA,JPNEUA IM Equity,"15,149.80"
LU1650488494,ETF,EM35,EM35 IM Equity,"15,033.50"
JE00BYQY4L28,ETF,3AUS,3AUS IM Equity,"14,973.83"
LU0274211480,ETF,XDAX,XDAX IM Equity,"14,900.80"
JE00BYQY5X15,ETF,3NIL,3NIL IM Equity,"14,623.53"
IE00B86MWN23,ETF,MVEU,MVEU IM Equity,"14,417.77"
IE00BHZKHS06,ETF,MLPI,MLPI IM Equity,"14,278.20"
JE00BYQY4X40,ETF,3AUL,3AUL IM Equity,"14,129.57"
IE00BDVJF675,ETF,PRFD,PRFD IM Equity,"13,954.77"
DE000HV41J73,SDX,UI376X,AU653197@SEDX Corp,"13,940.87"
JE00B7QK5303,ETF,UK3S,UK3S IM Equity,"13,912.63"
FR0010424135,ETF,BSX,BSX IM Equity,"13,895.63"
IE00BZ0PKV06,ETF,IFSE,IFSE IM Equity,"13,790.27"
LU0959211243,ETF,SPXH,SPXH IM Equity,"13,582.20"
JE00B7305Z55,ETF,EBRT,EBRT IM Equity,"13,565.73"
JE00B4RKQV36,ETF,EBUL,EBUL IM Equity,"13,334.87"
LU0328476410,ETF,XSFR,XSFR IM Equity,"12,920.93"
